WKT,name,description
"POLYGON ((114.2509465 22.243772, 114.2893986 22.210084, 114.288712 22.2418653, 114.2990117 22.2628371, 114.2832188 22.2768165, 114.2756657 22.2622016, 114.2413334 22.2869825, 114.2248539 22.2825349, 114.2296605 22.2539404, 114.2509465 22.243772))",Eastern Buffer,
"POLYGON ((114.2080453 22.363396, 114.2307046 22.3805401, 114.2386006 22.3951428, 114.2471841 22.4040303, 114.2928319 22.4133599, 114.309998 22.427959, 114.3257908 22.4298631, 114.3244175 22.4438257, 114.3422703 22.4704779, 114.3402104 22.4945872, 114.3347172 22.5079091, 114.2969517 22.4907808, 114.2756657 22.5021999, 114.2598729 22.5015655, 114.2454533 22.5123494, 114.2139304 22.5131759, 114.2090611 22.5098121, 114.205004 22.5036608, 114.127413 22.4852631, 114.0985739 22.4554409, 114.0855276 22.4294206, 114.1205466 22.4091087, 114.1370261 22.3926031, 114.1432059 22.368476, 114.1686118 22.3487902, 114.2080453 22.363396))",Tolo Harbour & Channel,
"POLYGON ((114.1205466 22.4091087, 114.0855276 22.4294206, 114.0628683 22.4192651, 114.0724814 22.4059347, 114.0333426 22.3957774, 114.0271628 22.3576809, 114.0436423 22.3462499, 114.0394597 22.3257335, 114.0535359 22.3219224, 114.1177372 22.2402764, 114.1736989 22.2316961, 114.1699223 22.2386875, 114.1822819 22.2672852, 114.1205466 22.2725611, 114.1123068 22.2839982, 114.1246664 22.3214796, 114.1068137 22.3722858, 114.1205466 22.4091087))",Western Buffer,
"POLYGON ((114.1370261 22.3926031, 114.1205466 22.4091087, 114.1068137 22.3722858, 114.1246664 22.3214796, 114.1123068 22.2839982, 114.1205466 22.2725611, 114.1822819 22.2672852, 114.1991047 22.2628371, 114.2032246 22.2294715, 114.2128376 22.2297893, 114.2145543 22.2390053, 114.2070012 22.2434542, 114.2087178 22.2533049, 114.2197041 22.2552113, 114.2358403 22.2434542, 114.2475132 22.2291536, 114.2427067 22.2405942, 114.2296605 22.2539404, 114.2248539 22.2825349, 114.2413334 22.2869825, 114.2519906 22.3208444, 114.2519906 22.3449798, 114.2234937 22.354189, 114.2119069 22.3677617, 114.1686118 22.3487902, 114.1432059 22.368476, 114.1370261 22.3926031))",Victoria Harbour,
"POLYGON ((114.2832188 22.2768165, 114.285747 22.2976612, 114.2792239 22.3148133, 114.2519906 22.3208444, 114.2413334 22.2869825, 114.2756657 22.2622016, 114.2832188 22.2768165))",Junk Bay,
"POLYGON ((114.2792239 22.3148133, 114.285747 22.2976612, 114.2832188 22.2768165, 114.2990117 22.2628371, 114.3560032 22.3371661, 114.3539433 22.3568535, 114.3443303 22.3657437, 114.331284 22.3847921, 114.3244175 22.4012987, 114.3230443 22.4146295, 114.2928319 22.4133599, 114.2471841 22.4040303, 114.2386006 22.3951428, 114.2307046 22.3805401, 114.2119069 22.3677617, 114.2234937 22.354189, 114.2519906 22.3449798, 114.2519906 22.3208444, 114.2792239 22.3148133))",Port Shelter,
"POLYGON ((113.8699209 22.4078391, 113.8678183 22.3492404, 113.8561161 22.30524, 113.8265863 22.2629875, 113.8193783 22.2577454, 113.815604 22.2359787, 113.8259037 22.1902094, 113.8410098 22.2111889, 113.8561161 22.2226309, 113.8945682 22.2544094, 113.9707859 22.2664833, 114.0009983 22.3046047, 114.0394597 22.3257335, 114.0436423 22.3462499, 114.0271628 22.3576809, 114.0333426 22.3957774, 114.0724814 22.4059347, 114.0628683 22.4192651, 113.9411294 22.409551, 113.8699209 22.4078391))",North Western,
"POLYGON ((113.8259037 22.1902094, 113.8856418 22.1552366, 113.8959415 22.149513, 114.1196069 22.1451934, 114.2340446 22.1438205, 114.255094 22.1360596, 114.2820901 22.143422, 114.3594273 22.142835, 114.2893986 22.210084, 114.2509465 22.243772, 114.2296605 22.2539404, 114.2427067 22.2405942, 114.2475132 22.2291536, 114.2358403 22.2434542, 114.2197041 22.2552113, 114.2087178 22.2533049, 114.2070012 22.2434542, 114.2145543 22.2390053, 114.2128376 22.2297893, 114.2032246 22.2294715, 114.1991047 22.2628371, 114.1822819 22.2672852, 114.1699223 22.2386875, 114.1736989 22.2316961, 114.1177372 22.2402764, 114.0535359 22.3219224, 114.0394597 22.3257335, 114.0009983 22.3046047, 113.9707859 22.2664833, 113.8945682 22.2544094, 113.8650383 22.2321657, 113.8410098 22.2111889, 113.8259037 22.1902094))",Southern,
"GEOMETRYCOLLECTION (POLYGON (), POLYGON ((114.2025898 22.5557535, 114.1960148 22.5339146, 114.2090611 22.5098121, 114.2139304 22.5131759, 114.2454533 22.5123494, 114.2598729 22.5015655, 114.2756657 22.5021999, 114.2969517 22.4907808, 114.3347172 22.5079091, 114.3402104 22.4945872, 114.3422703 22.4704779, 114.3244175 22.4438257, 114.3257908 22.4298631, 114.309998 22.427959, 114.2928319 22.4133599, 114.3230443 22.4146295, 114.3244175 22.4012987, 114.331284 22.3847921, 114.3443303 22.3657437, 114.3539433 22.3568535, 114.3560032 22.3371661, 114.2990117 22.2628371, 114.288712 22.2418653, 114.2893986 22.210084, 114.3594273 22.142835, 114.4301436 22.1442231, 114.4898782 22.1465451, 114.4915915 22.206936, 114.4926249 22.2876632, 114.4895411 22.3667157, 114.4606959 22.4460923, 114.4586359 22.4978046, 114.4560609 22.5398263, 114.4416414 22.5552048, 114.4057642 22.5688378, 114.3868773 22.5701108, 114.3669604 22.5701118, 114.3346964 22.5680453, 114.3044812 22.5655115, 114.2928057 22.5637691, 114.2438896 22.5502924, 114.2409811 22.5491797, 114.2396278 22.5469544, 114.2386382 22.5450404, 114.2363161 22.5427976, 114.2333888 22.5430679, 114.2299373 22.5458275, 114.2281842 22.5469072, 114.2263943 22.548432, 114.223501 22.5508467, 114.2211475 22.5518708, 114.2200574 22.5537203, 114.2174228 22.5558864, 114.216617 22.5553042, 114.2156921 22.5550908, 114.2141856 22.5548225, 114.2131468 22.5549199, 114.2113614 22.5562764, 114.2106917 22.555889, 114.2090091 22.5557484, 114.2052578 22.5564182, 114.2025898 22.5557535)))",Mirs Bay,
"POLYGON ((113.8699209 22.4078391, 113.9411294 22.409551, 114.0628683 22.4192651, 114.0855276 22.4294206, 114.0985739 22.4554409, 114.127413 22.4852631, 114.205004 22.5036608, 114.2090611 22.5098121, 114.1960148 22.5339146, 114.2025898 22.5557535, 114.2010449 22.5570218, 114.1967533 22.5573388, 114.195895 22.5554365, 114.1922902 22.5557535, 114.1897152 22.5541682, 114.1871403 22.5554365, 114.1854237 22.5546438, 114.1830204 22.5552779, 114.1807888 22.5548023, 114.1778706 22.5559121, 114.1773556 22.5586071, 114.1773556 22.5598753, 114.1759823 22.5600338, 114.1723774 22.5593997, 114.1704892 22.5601923, 114.1687725 22.5611435, 114.1673993 22.5614605, 114.1658543 22.5598753, 114.164481 22.5589241, 114.1631077 22.5593997, 114.1631077 22.5609849, 114.1615628 22.5622531, 114.1600178 22.5614605, 114.1576146 22.5579729, 114.1570996 22.5552779, 114.1555546 22.5552779, 114.1541813 22.5546438, 114.1519497 22.5533756, 114.1497181 22.5506805, 114.1497181 22.5486195, 114.1510914 22.5460828, 114.1564129 22.542912, 114.1461132 22.5418021, 114.142165 22.5424363, 114.1383885 22.5440218, 114.1356419 22.5427534, 114.1311787 22.5419607, 114.1274022 22.539741, 114.1227673 22.5387897, 114.1191624 22.5348259, 114.1155116 22.5336863, 114.1113918 22.5292467, 114.1086452 22.535589, 114.1010921 22.5336863, 114.0955989 22.5349548, 114.0907924 22.53876, 114.0859859 22.5343205, 114.0798061 22.5324179, 114.0763728 22.5260754, 114.0736263 22.520367, 114.0653865 22.5184641, 114.0578334 22.5133897, 114.0592067 22.5070464, 114.0530269 22.5032403, 114.0447872 22.504509, 114.0372341 22.5070464, 114.0331142 22.5091081, 114.027621 22.5099009, 114.0221278 22.5079979, 114.018008 22.5022887, 114.0128581 22.5026059, 114.005305 22.504509, 114.0022151 22.5108524, 113.9974086 22.514024, 113.9912288 22.5133897, 113.9871089 22.5089494, 113.985049 22.5026059, 113.8696925 22.4277305, 113.8699209 22.4078391))",Deep Bay,
