"","WCZ","correlation","p_value_correlation","intercept","p_value_intercept","slope","p_value_slope"
"...1","Deep Bay",0.289814974883356,0.31486086714447,0.7526880579944,0.0013897039750867,0.0600552950224397,0.314860867144469
"...2","Eastern Buffer",-0.332553626254819,0.208208372390102,1.38960993307777,3.74075865409582e-05,-0.27480044975623,0.208208372390102
"...3","Junk Bay",0.295872246751166,0.265866699074883,0.842477080608264,0.00178493070775912,0.194764409973321,0.265866699074884
"...4","Mirs Bay",-0.105101431617123,0.263620843334019,1.79366098668437,3.75395250845789e-19,-0.160636781859875,0.263620843334018
"...5","North Western",0.495290277419845,0.00156896504207754,0.496962506052641,0.248395233784097,0.879023145295497,0.00156896504207754
"...6","Port Shelter",-0.0517195069238559,0.584726791038003,2.11512559964891,2.51758569128466e-17,-0.0865112160777549,0.584726791038004
"...7","Southern",-0.0521338790750967,0.578350049488425,2.53252536969086,8.10566287479701e-10,-0.138494374206133,0.578350049488424
"...8","Tolo Harbour & Channel",0.157354860287628,0.0297071036812534,1.76352102182313,8.52824297602697e-15,0.23035914537156,0.0297071036812531
"...9","Victoria Harbour",-0.105936126173226,0.622249959751199,1.37613341238476,5.32703501651468e-05,-0.0778219275247005,0.622249959751199
"...10","Western Buffer",0.00246312961677669,0.987492968174454,1.59933791843651,0.000142792182782506,0.00394593276735959,0.987492968174453
"(Intercept)","All WCZ",0.0551869096940583,0.148470834808094,1.80231996178425,4.55642385793658e-62,0.0861084772879359,0.14847083480809
