"","Variable","Intercept","Slope","Formula"
"1","BOD5 (mg/L)",42.1449331579182,-0.0204135089444891,"f(x)=42.14+(-2.04e-02)*x"
"2","Orthophosphate
phosphorus (mg/L)",1.96616486389609,-0.000965751317795626,"f(x)=1.97+(-9.66e-04)*x"
"3","Salinity (psu)",35.6684427342378,-0.00315807769123648,"f(x)=35.67+(-3.16e-03)*x"
"4","Silica (mg/L)",-7.77426951746488,0.00444836773258238,"f(x)=-7.77+(4.45e-03)*x"
"5","Suspended
 solids (mg/L)",37.5687651271511,-0.0159075310234616,"f(x)=37.57+(-1.59e-02)*x"
"6","Temperature (°C)",-67.1059052832937,0.0451638152090927,"f(x)=-67.11+(4.52e-02)*x"
"7","Total
phosphorus (mg/L)",4.46488108628516,-0.00219365569703363,"f(x)=4.46+(-2.19e-03)*x"
"8","Turbidity (NTU)",-35.1564673545193,0.0207229491341362,"f(x)=-35.16+(2.07e-02)*x"
"9","Volatile suspended
solids (mg/L)",27.6078718140246,-0.0130292638048576,"f(x)=27.61+(-1.30e-02)*x"
"10","pH",38.075979599011,-0.0151657175806099,"f(x)=38.08+(-1.52e-02)*x"
