"","WCZ","correlation","p_value_correlation","intercept","p_value_intercept","slope","p_value_slope"
"...1","Deep Bay",0.29916448278682,0.213412294296545,0.723988643970032,0.000157445150327597,0.0755581654662537,0.213412294296545
"...2","Eastern Buffer",-0.167428772324825,0.535396453200839,1.27277480545513,0.000283374793837546,-0.154401189852988,0.53539645320084
"...3","Junk Bay",0.103425732083321,0.713767149058478,0.941286002931738,0.000220447103223701,0.035656273523236,0.713767149058478
"...4","Mirs Bay",0.0658257442118545,0.4845835523917,1.52536512201798,3.03593033825382e-12,0.109493100246478,0.484583552391699
"...5","North Western",0.387395685224856,0.016262704810888,1.04514768565139,0.00613859806415111,0.709716838757865,0.016262704810888
"...6","Port Shelter",0.103399961328763,0.273612991065458,1.80246488130972,4.81454123726422e-10,0.233815256437655,0.273612991065457
"...7","Southern",0.135573775751876,0.146760454284335,1.93422471537972,3.9618003028161e-08,0.376788942322819,0.146760454284336
"...8","Tolo Harbour & Channel",0.171686656405116,0.0191224867229336,1.54881000049212,2.09842218677595e-08,0.247432587521868,0.0191224867229338
"...9","Victoria Harbour",-0.2496513468976,0.239398990438307,1.50782061311229,2.34842007276396e-06,-0.146975616174257,0.239398990438306
"...10","Western Buffer",0.292625479333846,0.056878099910705,0.945464458868796,0.0162789061689012,0.677367996064324,0.0568780999107049
"(Intercept)","All WCZ",0.122746590767562,0.00127630322909809,1.64134185552999,1.14508417043425e-53,0.178274707966432,0.00127630322909813
