"","Variable","Intercept","Slope","Formula"
"1","BOD5 (mg/L)",21.0062113249659,-0.0101734164682878,"f(x)=21.01+(-1.02e-02)*x"
"2","Orthophosphate
phosphorus (mg/L)",0.986081458622743,-0.000484345703347589,"f(x)=0.99+(-4.84e-04)*x"
"3","Salinity (psu)",35.6684427342378,-0.00315807769123648,"f(x)=35.67+(-3.16e-03)*x"
"4","Silica (mg/L)",-3.88658984823053,0.00222400581043455,"f(x)=-3.89+(2.22e-03)*x"
"5","Suspended
 solids (mg/L)",18.8171630721567,-0.00796876341746324,"f(x)=18.82+(-7.97e-03)*x"
"6","Temperature (°C)",-67.1059052832937,0.0451638152090927,"f(x)=-67.11+(4.52e-02)*x"
"7","Total
Nitrogen (mg/L)",7.49771368805581,-0.00362365008436699,"f(x)=7.5+(-3.62e-03)*x"
"8","Total
phosphorus (mg/L)",2.17465695437722,-0.00106758712227653,"f(x)=2.17+(-1.07e-03)*x"
"9","Total Kjeldahl
Nitrogen (mg/L)",8.4156284618775,-0.00407891309798982,"f(x)=8.42+(-4.08e-03)*x"
"10","Turbidity (NTU)",-35.1564673545193,0.0207229491341362,"f(x)=-35.16+(2.07e-02)*x"
"11","Volatile suspended
solids (mg/L)",14.0173057528836,-0.00661402797228373,"f(x)=14.02+(-6.61e-03)*x"
"12","pH",38.075979599011,-0.0151657175806099,"f(x)=38.08+(-1.52e-02)*x"
