"","Species","n"
"1","Karenia papilionacea",11
"2","Octactis octonaria",11
"3","Karlodinium digitatum",9
"4","Chattonella ovata",7
"5","Prorocentrum balticum",4
"6","Eucampia zodiacus var. nodosa",3
"7","Trichodesmium sp.",3
"8","Alexandrium catenella",2
"9","Alexandrium tamarense",2
"10","Chattonellales sp.",2
"11","Conticribra weissflogii",2
"12","Dunaliellales sp.",2
"13","Fibrocapsa japonica",2
"14","Biddulphia sinensis",1
"15","Ceratium tripos var. macroceras",1
"16","Chaetoceros tenuissimus",1
"17","Chlamydomonas sp.",1
"18","Cochlodinium convolutum",1
"19","Cylindrotheca closterium",1
"20","Diadesmis sp.",1
"21","Guinardia striata",1
"22","Karlodinium veneficum",1
"23","Microglena uva-maris",1
"24","Odontella mobiliensis",1
"25","Peridinium quadridentatum",1
"26","Prorocentrum sp.",1
"27","Protoperidinium depressum",1
"28","Thalassomonas sp.",1
"29","Trichodesmium thiebautii",1
