Wet season,,Dry season,
Species,Sightings,Species,Sightings
Pseudo-nitzschia calliantha,6,Karenia papilionacea,11
Chaetoceros pseudocurvisetus,5,Octactis octonaria,11
Leptocylindrus danicus var. danicus,4,Karlodinium digitatum,9
Pseudo-nitzschia pseudodelicatissima,4,Chattonella ovata,7
Vicicitus globosus,3,Prorocentrum balticum,4
Cerataulina dentata,2,Eucampia zodiacus var. nodosa,3
Nitzschia lorenziana var. incerta,2,Trichodesmium sp.,3
Pseudo-nitzschia sp.,2,Alexandrium catenella,2
Amphora sp.,1,Alexandrium tamarense,2
Cyclotella caspia var. clitumnii,1,Chattonellales sp.,2
Cyclotella choctawhatcheeana,1,Conticribra weissflogii,2
Cyclotella sp.,1,Dunaliellales sp.,2
Gonyaulax verior,1,Fibrocapsa japonica,2
Gymnodinium impudicum,1,Biddulphia sinensis,1
Gyrodinium spirale,1,Ceratium tripos var. macroceras,1
Hermesinum adriaticum,1,Chaetoceros tenuissimus,1
Heterocapsa pygmaea,1,Chlamydomonas sp.,1
Pedinomonadaceae sp.,1,Cochlodinium convolutum,1
Prorocentrum rhathymum,1,Cylindrotheca closterium,1
Takayama pulchella,1,Diadesmis sp.,1
Thalassiosira spinulata,1,Guinardia striata,1
,,Karlodinium veneficum,1
,,Microglena uva-maris,1
,,Odontella mobiliensis,1
,,Peridinium quadridentatum,1
,,Prorocentrum sp.,1
,,Protoperidinium depressum,1
,,Thalassomonas sp.,1
,,Trichodesmium thiebautii,1
