"","Species","n"
"1","Pseudo-nitzschia calliantha",6
"2","Chaetoceros pseudocurvisetus",5
"3","Leptocylindrus danicus var. danicus",4
"4","Pseudo-nitzschia pseudodelicatissima",4
"5","Vicicitus globosus",3
"6","Cerataulina dentata",2
"7","Nitzschia lorenziana var. incerta",2
"8","Pseudo-nitzschia sp.",2
"9","Amphora sp.",1
"10","Cyclotella caspia var. clitumnii",1
"11","Cyclotella choctawhatcheeana",1
"12","Cyclotella sp.",1
"13","Gonyaulax verior",1
"14","Gymnodinium impudicum",1
"15","Gyrodinium spirale",1
"16","Hermesinum adriaticum",1
"17","Heterocapsa pygmaea",1
"18","Pedinomonadaceae sp.",1
"19","Prorocentrum rhathymum",1
"20","Takayama pulchella",1
"21","Thalassiosira spinulata",1
