"","WCZ","Species","Count"
"1","Deep Bay","Conticribra weissflogii",2
"2","Deep Bay","Diadesmis sp.",1
"3","Mirs Bay","Karlodinium veneficum",1
"4","Mirs Bay","Hermesinum adriaticum",1
"5","Mirs Bay","Gymnodinium impudicum",1
"6","Mirs Bay","Prorocentrum sp.",1
"7","Mirs Bay","Chaetoceros tenuissimus",1
"8","Mirs Bay","Trichodesmium thiebautii",1
"9","North Western","Cerataulina dentata",2
"10","Port Shelter","Alexandrium tamarense",2
"11","Port Shelter","Ceratium tripos var. macroceras",1
"12","Port Shelter","Cochlodinium convolutum",1
"13","Southern","Gyrodinium spirale",1
"14","Southern","Prorocentrum rhathymum",1
"15","Southern","Pseudo-nitzschia sp.",2
"16","Tolo Harbour","Protodinium simplex",4
"17","Tolo Harbour","Plagioselmis prolonga",12
"18","Tolo Harbour","Cylindrotheca closterium",1
"19","Tolo Harbour","Microglena uva-maris",1
"20","Tolo Harbour","Teleaulax acuta",9
"21","Tolo Harbour","Eutreptiella sp.",4
"22","Tolo Harbour","Protoperidinium depressum",1
"23","Tolo Harbour","Leptocylindrus minimus",10
"24","Tolo Harbour","Thalassomonas sp.",1
"25","Tolo Harbour","Chlamydomonas sp.",1
"26","Tolo Harbour","Dunaliellales sp.",2
"27","Tolo Harbour","Cyclotella sp.",1
"28","Tolo Harbour","Pedinomonadaceae sp.",1
"29","Tolo Harbour","Takayama pulchella",1
"30","Tolo Harbour","Cyclotella caspia var. clitumnii",1
"31","Tolo Harbour","Haematococcus lacustris",6
"32","Tolo Harbour","Gonyaulax verior",1
"33","Tolo Harbour","Heterocapsa pygmaea",1
"34","Tolo Harbour","Cyclotella choctawhatcheeana",1
"35","Tolo Harbour","Guinardia striata",1
"36","Tolo Harbour","Chattonellales sp.",2
"37","Tolo Harbour","Peridinium quadridentatum",1
"38","Tolo Harbour","Odontella mobiliensis",1
"39","Tolo Harbour","Biddulphia sinensis",1
"40","Victoria Harbour","Amphora sp.",1
"41","Western Buffer","Thalassiosira spinulata",1
