"","df.Sighting","df.Date","df.Year","df.Group","df.Location","df.lat","df.lon","df.Species","u.valid_name","u.kingdom","u.phylum","u.order","u.family","u.genus"
"7","1977S0004","1977-05-24","1977","Dinoflagellates","Tolo Harbour",22.4459060119568,114.196059274146,"Protodinium simplex","Protodinium simplex","Chromista","Myzozoa",NA,NA,"Protodinium"
"41","1983S0017","1983-12-13","1983","Dinoflagellates","Tolo Harbour",22.4436331285727,114.222293363462,"Heterocapsa circularisquama","Heterocapsa circularisquama RNA virus 01","Viruses",NA,NA,NA,"Dinodnavirus"
"129","1986S0023","1986-09-12","1986","Dinoflagellates","Tolo Harbour",22.4436331285727,114.222293363462,"Heterocapsa circularisquama","Heterocapsa circularisquama RNA virus 01","Viruses",NA,NA,NA,"Dinodnavirus"
"146","1987S0008","1987-03-18","1987","Others","Yim Tin Tsai (East) Fish Culture Zone",22.4543925618752,114.22239966832,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"155","1987S0017","1987-05-13","1987","Others","Tolo Harbour",22.4436331285727,114.222293363462,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"161","1987S0023","1987-07-28","1987","Dinoflagellates","Three Fathoms Cove (Kei Ling Ha Hoi)",22.4300222316933,114.277458559829,"Heterocapsa circularisquama","Heterocapsa circularisquama RNA virus 01","Viruses",NA,NA,NA,"Dinodnavirus"
"192","1988S0011","1988-02-15","1988","Others","Tolo Harbour",22.4436331285727,114.222293363462,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"193","1988S0013","1988-02-22","1988","Others","Tolo Harbour and Yung Shue Au Fish Culture Zone",22.4435705225056,114.222221795156,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"257","1988S0066","1988-08-31","1988","Dinoflagellates","Port Shelter (Ngau Mei Hoi), Sai Kung",22.3552586836193,114.264771390968,"Scrippsiella trochoidea",NA,NA,NA,NA,NA,NA
"291","1989S0007","1989-01-31","1989","Others","Tolo Harbour",22.4328941278863,114.214982716203,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"315","1989S0033","1989-10-26","1989","Others","Tolo Harbour",22.4436331285727,114.222293363462,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
"321","1990S0001","1990-01-02","1990","Dinoflagellates","Yim Tin Tsai (East) Fish Culture Zone",22.4542788144269,114.221852590097,"Heterocapsa circularisquama","Heterocapsa circularisquama RNA virus 01","Viruses",NA,NA,NA,"Dinodnavirus"
"354","1990S0034","1990-09-27","1990","Dinoflagellates","Yim Tin Tsai (East) Fish Culture Zone",22.4547456504446,114.222437741619,"Heterocapsa circularisquama","Heterocapsa circularisquama RNA virus 01","Viruses",NA,NA,NA,"Dinodnavirus"
"380","1991S0024","1991-11-22","1991","Dinoflagellates","Tolo Harbour",22.4436331285727,114.222293363462,"Heterocapsa circularisquama","Heterocapsa circularisquama RNA virus 01","Viruses",NA,NA,NA,"Dinodnavirus"
"381","1991S0025","1991-12-04","1991","Dinoflagellates","Starling Inlet (Sha Tau Kok Hoi)",22.5348466838985,114.220249562559,"Heterocapsa circularisquama","Heterocapsa circularisquama RNA virus 01","Viruses",NA,NA,NA,"Dinodnavirus"
"386","1992S0005","1992-04-16","1992","Others","Hau Tze Kok",22.4806081191565,114.352321481711,"Dictyocha octonaria",NA,NA,NA,NA,NA,NA
"401","1993S0001","1993-01-01","1993","Dinoflagellates","Starling Inlet (Sha Tau Kok Hoi)",22.5348466838985,114.220249562559,"Heterocapsa circularisquama","Heterocapsa circularisquama RNA virus 01","Viruses",NA,NA,NA,"Dinodnavirus"
"424","1994S0014","1994-04-18","1994","Others","Shing Mun River",22.3973287844342,114.208633065372,"Heterosigma akashiwo","Heterosigma akashiwo virus 01","Viruses",NA,NA,"Phycodnaviridae","Raphidovirus"
